ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval+Stemming,31224,SUMM.TXT,0.02284,0.02101,0.02189,4

ROUGE-SU4+StopWordRemoval+Stemming,31224,SUMM.TXT,0.07205,0.04708,0.05695,4

ROUGE-L+StopWordRemoval+Stemming,31462,SUMM.TXT,0.19559,0.31796,0.24219,4

ROUGE-1+StopWordRemoval+Stemming,31462,SUMM.TXT,0.22716,0.39646,0.28883,4

ROUGE-2+StopWordRemoval+Stemming,31462,SUMM.TXT,0.10392,0.10914,0.10646,4

ROUGE-SU4+StopWordRemoval+Stemming,31462,SUMM.TXT,0.17990,0.15383,0.16584,4

ROUGE-L+StopWordRemoval+Stemming,31220,SUMM.TXT,0.03730,0.47619,0.06917,3

ROUGE-1+StopWordRemoval+Stemming,31220,SUMM.TXT,0.02408,0.52778,0.04606,3

ROUGE-2+StopWordRemoval+Stemming,31220,SUMM.TXT,0.01531,0.33333,0.02927,3

ROUGE-SU4+StopWordRemoval+Stemming,31220,SUMM.TXT,0.01718,0.27273,0.03233,3

ROUGE-L+StopWordRemoval+Stemming,32792,SUMM.TXT,0.10905,0.28962,0.15845,3

ROUGE-1+StopWordRemoval+Stemming,32792,SUMM.TXT,0.14716,0.42619,0.21878,3

ROUGE-2+StopWordRemoval+Stemming,32792,SUMM.TXT,0.04408,0.13189,0.06608,3

ROUGE-SU4+StopWordRemoval+Stemming,32792,SUMM.TXT,0.08414,0.19275,0.11714,3

ROUGE-L+StopWordRemoval+Stemming,30813,SUMM.TXT,0.08898,0.44809,0.14848,3

ROUGE-1+StopWordRemoval+Stemming,30813,SUMM.TXT,0.11178,0.12091,0.11616,3

ROUGE-2+StopWordRemoval+Stemming,30813,SUMM.TXT,0.05174,0.03419,0.04117,3

ROUGE-SU4+StopWordRemoval+Stemming,30813,SUMM.TXT,0.10586,0.05240,0.07010,3

ROUGE-L+StopWordRemoval+Stemming,31109,SUMM.TXT,0.14204,0.53111,0.22414,4

ROUGE-1+StopWordRemoval+Stemming,31109,SUMM.TXT,0.14893,0.59249,0.23803,4

ROUGE-2+StopWordRemoval+Stemming,31109,SUMM.TXT,0.08104,0.24322,0.12157,4

ROUGE-SU4+StopWordRemoval+Stemming,31109,SUMM.TXT,0.11723,0.27898,0.16509,4

ROUGE-L+StopWordRemoval+Stemming,30815,SUMM.TXT,0.07266,0.45493,0.12531,3

ROUGE-1+StopWordRemoval+Stemming,30815,SUMM.TXT,0.11686,0.46996,0.18718,3

ROUGE-2+StopWordRemoval+Stemming,30815,SUMM.TXT,0.04506,0.12884,0.06677,3

ROUGE-SU4+StopWordRemoval+Stemming,30815,SUMM.TXT,0.08463,0.16489,0.11185,3

ROUGE-L+StopWordRemoval+Stemming,31469,SUMM.TXT,0.03529,0.41964,0.06511,4

ROUGE-1+StopWordRemoval+Stemming,31469,SUMM.TXT,0.04432,0.14297,0.06767,4

ROUGE-2+StopWordRemoval+Stemming,31469,SUMM.TXT,0.00796,0.01489,0.01037,4

ROUGE-SU4+StopWordRemoval+Stemming,31469,SUMM.TXT,0.02147,0.03664,0.02707,4

ROUGE-L+StopWordRemoval+Stemming,31105,SUMM.TXT,0.03783,0.52381,0.07056,3

ROUGE-1+StopWordRemoval+Stemming,31105,SUMM.TXT,0.05622,0.29464,0.09442,3

ROUGE-2+StopWordRemoval+Stemming,31105,SUMM.TXT,0.00251,0.00601,0.00354,3

ROUGE-SU4+StopWordRemoval+Stemming,31105,SUMM.TXT,0.02513,0.06545,0.03632,3

ROUGE-L+StopWordRemoval+Stemming,31589,SUMM.TXT,0.11663,0.30000,0.16796,6

ROUGE-1+StopWordRemoval+Stemming,31589,SUMM.TXT,0.16409,0.40110,0.23290,6

ROUGE-2+StopWordRemoval+Stemming,31589,SUMM.TXT,0.02688,0.04696,0.03419,6

ROUGE-SU4+StopWordRemoval+Stemming,31589,SUMM.TXT,0.10909,0.13148,0.11924,6

ROUGE-L+StopWordRemoval+Stemming,32557,SUMM.TXT,0.06719,0.77000,0.12360,4

ROUGE-1+StopWordRemoval+Stemming,32557,SUMM.TXT,0.04226,0.76389,0.08009,4

ROUGE-2+StopWordRemoval+Stemming,32557,SUMM.TXT,0.02230,0.28571,0.04137,4

ROUGE-SU4+StopWordRemoval+Stemming,32557,SUMM.TXT,0.03184,0.30294,0.05763,4

ROUGE-L+StopWordRemoval+Stemming,32437,SUMM.TXT,0.11013,0.09614,0.10266,3

ROUGE-1+StopWordRemoval+Stemming,32437,SUMM.TXT,0.21545,0.06016,0.09406,3

ROUGE-2+StopWordRemoval+Stemming,32437,SUMM.TXT,0.11245,0.02682,0.04331,3

ROUGE-SU4+StopWordRemoval+Stemming,32437,SUMM.TXT,0.14896,0.02094,0.03672,3

ROUGE-L+StopWordRemoval+Stemming,33070,SUMM.TXT,0.20009,0.38202,0.26262,4

ROUGE-1+StopWordRemoval+Stemming,33070,SUMM.TXT,0.32890,0.14176,0.19813,4

ROUGE-2+StopWordRemoval+Stemming,33070,SUMM.TXT,0.21347,0.08682,0.12344,4

ROUGE-SU4+StopWordRemoval+Stemming,33070,SUMM.TXT,0.24097,0.08598,0.12674,4

ROUGE-L+StopWordRemoval+Stemming,31333,SUMM.TXT,0.07796,0.44848,0.13283,3

ROUGE-1+StopWordRemoval+Stemming,31333,SUMM.TXT,0.09768,0.49435,0.16313,3

ROUGE-2+StopWordRemoval+Stemming,31333,SUMM.TXT,0.02975,0.13105,0.04849,3

